date;open;high;low;close;adj close;volume
24/5/2023;115349998;116889198;115029999;116357697;116357697;40555477
23/5/2023;114269997;117139999;113779999;114989998;114989998;67494700
22/5/2023;116769997;116769997;114250000;115010002;115010002;70741100
19/5/2023;118160004;118309998;115699997;116250000;116250000;54990200
18/5/2023;116690002;118599998;116339996;118150002;118150002;73174100
17/5/2023;114889999;115830002;114220001;115500000;115500000;65655200
16/5/2023;111050003;114790001;111050003;113400002;113400002;71472900
15/5/2023;111150002;112290001;109250000;111199997;111199997;53011100
12/5/2023;112160004;112639999;109320000;110260002;110260002;49810100
11/5/2023;111029999;113279999;110489998;112180000;112180000;74924800
10/5/2023;108099998;110669998;108050003;110190002;110190002;78627600
9/5/2023;105480003;106790001;105160004;106620003;106620003;44089400
8/5/2023;105040001;106099998;104699997;105830002;105830002;49430900
5/5/2023;104269997;105760002;103550003;105660004;105660004;56912900
4/5/2023;104040001;105389999;103309998;104000000;104000000;45345500
3/5/2023;103739998;105959999;103279999;103650002;103650002;65051900
2/5/2023;101470001;103900002;101150002;103629997;103629997;73469400
1/5/2023;104949997;105230003;101820000;102050003;102050003;74728100
28/4/2023;107730003;109480003;104330002;105449997;105449997;130565000
27/4/2023;108160004;110860001;106800003;109820000;109820000;149961200
26/4/2023;105040001;106620003;104099998;104980003;104980003;73803800
25/4/2023;104910004;105449997;102449997;102570000;102570000;65026800
24/4/2023;107660004;109230003;105070000;106209999;106209999;69575600
21/4/2023;106099998;108150002;105080002;106959999;106959999;86774200
20/4/2023;103529999;105250000;103209999;103809998;103809998;57696900
19/4/2023;101580002;105120003;101389999;104300003;104300003;58398900
18/4/2023;103949997;104199997;101519997;102300003;102300003;39790500
17/4/2023;103160004;103730003;101589996;102739998;102739998;39919500
14/4/2023;102070000;103199997;101110001;102510002;102510002;51450500
13/4/2023;98949997;102570000;98709999;102400002;102400002;67925100
12/4/2023;100400002;100510002;97709999;97830002;97830002;56735000
11/4/2023;100800003;101000000;99010002;99919998;99919998;60417800
10/4/2023;100959999;102199997;99570000;102169998;102169998;37261200
6/4/2023;100750000;102379997;99800003;102059998;102059998;43808000
5/4/2023;103910004;103910004;100750000;101099998;101099998;45175400
4/4/2023;102750000;104199997;102110001;103949997;103949997;48662500
3/4/2023;102300003;103290001;101430000;102410004;102410004;41135700
31/3/2023;102160004;103489998;101949997;103290001;103290001;56750300
30/3/2023;101550003;103040001;101010002;102000000;102000000;53633400
29/3/2023;98690002;100419998;98559998;100250000;100250000;49783300
28/3/2023;98110001;98440002;96290001;97239998;97239998;38720100
27/3/2023;99070000;99339996;97080002;98040001;98040001;46721300
24/3/2023;98070000;98300003;96400002;98129997;98129997;56095400
23/3/2023;100430000;101059998;97620003;98709999;98709999;57559300
22/3/2023;100449997;102099998;98610001;98699997;98699997;57475400
21/3/2023;98139999;100849998;98000000;100610001;100610001;58597300
20/3/2023;98410004;98480003;95699997;97709999;97709999;62388900
17/3/2023;99790001;100660004;97459999;98949997;98949997;87300200
16/3/2023;95750000;100989998;95610001;100040001;100040001;84446900
15/3/2023;93220001;96669998;93070000;96199997;96199997;70731800
14/3/2023;93830002;95070000;92709999;94879997;94879997;60912700
13/3/2023;89970001;94019997;88120003;92430000;92430000;72397100
10/3/2023;92669998;93570000;90250000;90730003;90730003;69827500
9/3/2023;93680000;96209999;92180000;92250000;92250000;56218700
8/3/2023;93599998;94169998;92180000;93919998;93919998;44899100
7/3/2023;94059998;95089996;92779999;93550003;93550003;49100700
6/3/2023;95190002;96550003;93739998;93750000;93750000;52112400
3/3/2023;92739998;94940002;92660004;94900002;94900002;55759600
